	Date	User	Tweet	Coordinates	Location
12	2023-02-05 11:34:53+00:00	vampdavegrohl	"My 3 year old who usually exists purely on treats and pasta has just asked for *and eaten* a whole banana and a whole apple. 

I am shook. https://t.co/IRtomLc0sF"		Leicester, UK
13	2023-02-05 11:28:25+00:00	AzraelsGaming	@Rhiiinoo_ @PubtestCom Few bad apples and all that		east midlands
14	2023-02-05 10:33:56+00:00	justsofiapari	"It was my birthday last month and hubby got me the Apple Watch ⌚️ 😍 I just had to film an unboxing. I have a stop motion one too 😂

#ugcreality #ugccreatorsneeded #ugccommunity #UGCcontent #ugccontentcreator #lifeasacreator https://t.co/I1XiM63ly9"		Derby, England
15	2023-02-05 10:17:49+00:00	suckerforanime1	I never knew I would like peanut butter and apples that’s a healthy and tasty snack		Gotham
16	2023-02-05 10:15:21+00:00	dickmeredith	Hey @Apple - don’t you think it’s time to add #Ukrainian to your translation app in #ios? @Twitter has it built in.	Coordinates(longitude=-2.03410488116464, latitude=51.9772264213839)	
17	2023-02-05 08:25:39+00:00	itsemmanffc	Never known a dog go so mad for apples and cucumber like Gromit. He's obsessed		Nottingham, England
18	2023-02-05 04:53:41+00:00	marbotmusholla	Apple fanboy be like:		Gotham city
19	2023-02-05 04:11:06+00:00	alanasin	@acgrayling Apple powered by the CCP and slave labour.		Leicester
20	2023-02-05 03:21:12+00:00	datGuyOvetThere	"@mzkjnky80 @totallynotretro I get Fifa commercials for everything, from HBO Max too Apple TV too Fifa and CoD.

Doesn't matter if it's for game sales or not. IMO ads as the first thing you see is not good."		Gotham City
21	2023-02-05 01:14:27+00:00	AquaMarina1987	@nathaliejacoby1 If Kopperberg can make an alcohol free version of their spiced apple cider and Spain could give me a non-alcoholic Sangria, then yes, I think I could...		Loughborough, UK
22	2023-02-04 23:16:00+00:00	xwidep	"New Mix Tape

I think therefore…
A thought themed eclectic mix tape - January 2023

Apple - https://t.co/h4gSpP6yMn

Spotify - https://t.co/FZSRIFIkY2

Amazon - https://t.co/va1ebkU7TG https://t.co/Inbp84UknS"		Leicester, England
23	2023-02-04 23:13:14+00:00	DCAUReview	"Listen links for our review of the classic B:TAS episode, “Trial!” #DCAU #Batman #BTAS #DCComics 

🍎 Apple Podcasts: https://t.co/pOVkxLrAtB

⚓️ Anchor: https://t.co/YuW1QruJTl

🟢 Spotify: https://t.co/Ul7dBz7SpF

📺 YouTube: https://t.co/SrpupRE4OX https://t.co/dKKSEQVM6b"		Gotham City
24	2023-02-04 21:54:57+00:00	grumpygolfer79	@mscots41 Maybe the stubble , Adams apple and meat and 2 veg give it away 🤔		East Midlands, England
25	2023-02-04 20:50:40+00:00	spamllama	i’m so glad apple added that feature where u can select text from an image bcus it works so well /s		Nottingham, England 
26	2023-02-04 19:49:50+00:00	cyrusisconfused	windows apple music app finally, and it works 😍		East Midlands, England
27	2023-02-04 19:25:09+00:00	Jaseybabes2002	Humming bird bakery nutty apple loaf. Much lighter than expected no idea why it had strawberry jam in it https://t.co/cZAqcv7kfv		loughborough
28	2023-02-04 18:55:31+00:00	Natangwe_	I fuckin’ love that song. Can’t find it on Apple Music 🤦🏾‍♂️		Gotham City
29	2023-02-04 18:48:34+00:00	LucyLamplight	@SoVeryBritish An apple crumble island surrounded by a moat of custard - not on top of the crumble, and I’ll have that five nights in a row please		Nottingham, England
30	2023-02-04 18:20:11+00:00	jrsknights	just ordered me a apple watch hunni  https://t.co/Ih8v733Qvh		Gotham City
31	2023-02-04 18:15:09+00:00	omar99HH	Yes twitter it's an apple https://t.co/41lp18jXmz		Gotham City
32	2023-02-04 18:10:58+00:00	mrdpa	@techedrob Hey Rob is your Apple Watch course on Udemy still valid? Also looking at Swift and iOS dev, any you’d recommend?		East Midlands, England
33	2023-02-04 17:43:44+00:00	Gazflint1971	@howtomen Why when ios is such a janky mess, ui has been stable for a few years now puts apple to shame		Leicester, England
34	2023-02-04 17:01:57+00:00	neverbeyme	@ekorfz Apple?		Gotham
35	2023-02-04 16:08:10+00:00	barnesyy19	@hopeuccino @Apple Omg I was just thinking about how I haven’t done a review in a minute!! But I also have tried stopping going bc it was just so much sugar lmaooo		Gotham City
36	2023-02-04 12:27:03+00:00	LeonBarrington	It better be on Apple Music in time for gym tomorrow @beyonce 😡		Nottingham, England
37	2023-02-04 12:26:03+00:00	MuslimTecOmar	"@EmJoServices @Girirajjhawar07 Fundamentals never changed

Perception of that has changed

Will continue to change as we progress.

Except Islam. Every thing else is adapting to it.

One might ask why! I don't want those backwards people here!

""Bro you get robbed of your apple&amp;want their heads on a platter"		East Midlands, England
38	2023-02-04 09:56:01+00:00	VBarber11	@Bestestgundog I have been round the garden today. Found 3 snowdrops and my 1 crocus is now 2. Only planted a few packets of assorted bulbs into a rough patch of garden around the apple tree and along the blackthorn hedge. Hoping to eventually get a woodland effect.		East Midlands, England
39	2023-02-04 09:48:12+00:00	Chris_Alex	@mike50004 That’s nuts. Have you checked for 0.2% vouchers? That’s how generous Apple are 😫		East Midlands, England
40	2023-02-04 07:00:19+00:00	LegioXELiquid	"Limonata Apple 🍋 🍏 🍎 

 A tangy, green Apple and crisp, red Apple blended into a tall glass of traditional Lemonade from the Italian Amalfi Coast.

https://t.co/ChGLJNQz8k https://t.co/1RzljiRmhb"		Nottingham, England
41	2023-02-04 06:07:03+00:00	8atgirl	very chill very cool apple juice is pretty yummh		Gotham 
42	2023-02-04 06:04:20+00:00	8atgirl	"@CoIdCoIdHeart 

HAPPY BDAY MISTER FREEZEEEE

You’re super slay, to being a year older 🎉

(mines apple juice dont worry) https://t.co/PGdQ71in7J"		Gotham 
43	2023-02-04 05:13:58+00:00	earthtreeheal	I’m performing live this weekend 4th &amp; 5th Feb ‘23 @lizianevents #newark Well Being Show. Thanks for listening all around the world #spotify #applemusic #womeninmusic #nottsmusic #musicians #newagemusician @AppleMusic #@Spotify https://t.co/gMgAO8L273		Nottingham, England
44	2023-02-03 23:42:25+00:00	NadricTvPlus	@arieel33 @the_afrogeek @AppleTV @RossierFanny @Lily_s_ennuie @AppleTVPlus Girl. Really ? Come on !! Cancel your shitty Netflix and come on the dark side of the Apple 😈		Gotham
45	2023-02-03 22:20:14+00:00	johndoe41051832	@DK_Able @elonmusk If you are a paid subscriber then they have an account number to credit you back. I wonder of Apple will take a 40% cut from iPhone users.		Nottingham, England
46	2023-02-03 22:10:05+00:00	SasquatchInABag	I wish @AppleMusic @Apple had an music lyric overlay on apps whilst listening and browsing on the device. For example, I’m perusing a book, but wish I could read the lyrics as they appear whilst reading and listening. Is that a pipe dream? Make it happen please 🙏	Coordinates(longitude=-1.1886348, latitude=52.7364063)	Plague Island 
47	2023-02-03 21:23:09+00:00	BoyCharioteer	"@Moonspinner55 I had Apple TV mainly because I just had to watch Asimov's Foundation, but I have just put this on and ""Shrinking"" appears to have Harrison Ford in it. TV series? 😮 https://t.co/GeuJbl7Cjz"		Leicester
48	2023-02-03 19:54:23+00:00	billwnyc	RT jaybirdcom: Apple Music has expanded its catalog to over 100 million songs and has reached 935 million paid subscriptions - Click here to read more: https://t.co/cV3QHfWVpq https://t.co/74OEk5gW4C		Gotham
49	2023-02-03 19:26:05+00:00	AddToTheList_	"Episode 3 of ""SHRINKING"" is now available on Apple TV+.
It's called ""Fifteen Minutes"".

#Shrinking https://t.co/JFPFvrzGoM"		Gotham City
50	2023-02-03 18:52:58+00:00	nigel73200304	"@francesweetman it's called 
apple"	Coordinates(longitude=-1.211646, latitude=52.5942331)	middle earth 
51	2023-02-03 18:13:47+00:00	karenkmh2	@FreeStyleDiabet can you check your freestyle libre using your apple watch yet? Not just your phone ?		East Midlands, England
52	2023-02-03 17:55:56+00:00	IOweYouNathan	As well as Satan, I'm doing apple cake and (for rhe first time) cherry bakewell		Nottingham
53	2023-02-03 17:01:42+00:00	MPC_Limited	"Happy #FinancialFactFriday ! Apple reported its earnings last night, making some worry over its share price potential in the future. It has seen stellar growth since its early days and many worry if that growth can continue - Did you know...

Capital at risk.

#wealthmanagement https://t.co/F9ecmtiCMY"		East Midlands, England
54	2023-02-03 16:46:06+00:00	JustWray	@aForce75756612 @imparkerburton How about I make it easier for you and watch an Apple Ad yeah https://t.co/NKuqjztJNM		East Midlands, England
55	2023-02-03 16:06:22+00:00	christinartnd	@CurrysServices Hi, some of your colleagues have given us some incorrect advice regarding a oneforallcard, and we purchased an apple watch but now have a £100 currys gift card. Can we go into store to return (and then re-buy it) with our giftcard?		Nottingham, England
56	2023-02-03 16:03:42+00:00	jameswilesmusic	@benwalshdjuk @crimsenmusic @WOStreetTracks @beatport @Spotify @AppleMusic @EastHarbourMgmt Nice this Ben, great work!		Nottingham, GB
57	2023-02-03 15:49:04+00:00	cliff_timber	"I don't mean to brag about my wealth but I have just purchased the latest must-have Apple Gadget
The Apple Corer 
ebay £2.99 https://t.co/03ozToIFhD"		East Midlands, England
58	2023-02-03 15:47:39+00:00	Jxsm1ne_16	@AnneMarie @AppleMusic It has been on repeat in my pocket all day 🫶🏻		Nottingham, England
59	2023-02-03 14:56:00+00:00	TheiOSDude	Anyone else using Xcode Cloud for some CD stuff? Apple have done a great job on the integration  between Github and XC. #SwiftLang #iOSDev #DevLife https://t.co/9L7HNn1FPp		Leicester, England
60	2023-02-03 14:44:04+00:00	redhoodluvr	@midtcwnn i need that long lost friend who i picked apples with in papa’s orchard copypasta to describe my feelings about him		gotham city
61	2023-02-03 14:30:07+00:00	motorlinedirect	"We LOVE our Porsche Macan here at Motorline Direct! This one has heated front seats, leather interior, reverse camera, heated steering wheel, apple car play, plus even more to adore!
🚗 @Porsche 
💻 https://t.co/IO0jZ0fBQI
#porschemacan #motorlinedirectuk https://t.co/c8sXHOU4lk"		Loughborough, Leicestershire
62	2023-02-03 14:27:37+00:00	Junxrrcarter	Teach your phones how to spell “fucking” , I thought it was supposed to be a SMART phone ? @apple	Coordinates(longitude=-1.2501363, latitude=52.921473)	Santos, Brasil
63	2023-02-03 12:49:19+00:00	s_108	"@followhomekit How do I pair this to my tv and watch virgin/sky tv? I know u can pair to Apple TV box (but my virgin etc doesn’t come through this)

Otherwise I’ll have to have a beam for virgin and HomePod for Apple TV box"		leicester
64	2023-02-03 12:33:30+00:00	ForgeInn	"Happy Friday! Something we've been waiting for since before Christmas 🧐 The RETURN of Giancarlo &amp; the teams weekend specials 🤩 Featuring; 

Sautéed Scallops, Chorizo &amp; Cauliflower finished with garlic butter on toast, 
Frutti di Mare Tagliatelle &amp; Apple &amp; Forest Fruit Crumble https://t.co/tlzyveIX2D"		Glenfield, Leicestershire
65	2023-02-03 12:28:23+00:00	stephenbrader	@AndyH_England @TheGalox_ Tsmc doesnt save it entirely those arm cortex cores are still terrible for efficiency the a715 on 4nm is barely much faster or efficient than old a78 on 7nm and a510 too is also terrible like half as fast as apple efficiency cores while using more power		Leicester, England
66	2023-02-03 12:19:52+00:00	SUPERSTARBJ	@leonagraham  football tip just watch all the Ted lasso  football manager on Apple TV all you problems will be solved . 👍	Coordinates(longitude=-1.3086257, latitude=52.8767723)	Berlin, Germany
67	2023-02-03 11:53:54+00:00	brennig	Apple to buy Netflix within 24 months. Stick a fiver on it		Nottingham, England
68	2023-02-03 11:50:46+00:00	ohree_	@fancywookiee @DarkEden21 Man got hit in the head with one too many Apples		Nottingham, England
69	2023-02-03 11:20:11+00:00	TeamSTAA	"Fruit tree pruning workshop for apple, pear &amp; quince 🍐

Come along for a masterclass in all aspects of orchard tree care inc how to rejuvenate old trees &amp; prune new trees to achieve the perfect crop. 

Sat 11th Feb 10-12:
https://t.co/Py1GFCcpj1
#workshop #allotment #pruning https://t.co/fUPXcM2wpB"		Nottingham
70	2023-02-03 08:08:00+00:00	falcoretweets	All I’ve ever wanted is one of those apple corers, you know the ones that cuts the apple into segments at the same time… maybe one day eh 🥹 https://t.co/KnWciFSiVU		Nottingham, England
71	2023-02-03 06:21:47+00:00	bane_tweets	"@MandelaMinutes Apple is marketing strategy is all about Apple. They don't sell products. They sell a lifestyle! 

FYI I launched Apple series 4-7, Beats by Dr Dre &amp; Apple TV Box. 😉"		Gotham City
72	2023-02-03 06:08:37+00:00	bane_tweets	@MandelaMinutes Apple doesn't advertise or pay anyone for advertising. As a provider of Apple products you are supposed to pay for all marketing * advertising.		Gotham City
73	2023-02-03 00:16:39+00:00	stephenbrader	@OddFair Well duh qualcomm cant suddenly clock it to 5ghz at low power to make the cortex x3 catch up to apple they have a chance to catch up with nuvia cores but there coming to laptops 1st so probably not in phone chips til 8 gen 4 all i want is them to catch up in efficiency not scores		Leicester, England
74	2023-02-02 23:55:56+00:00	greasybatman	going to the apple store tmrw rip my bank account when i come out with those silver airpod max		gotham
75	2023-02-02 22:43:25+00:00	k_stalou	Fae can identify however they like, it'll never make it true. That Adam's apple however...must be hard to look at when you try so desperately to convince everyone you are what you say you are, just because you say so!		East Midlands
76	2023-02-02 22:31:00+00:00	BeauchampBiz	"BBC News - Apple sales in biggest fall since 2019
https://t.co/bStfM7oRNg"		Oadby, Leicestershire
77	2023-02-02 22:03:44+00:00	K8eP3	@Sonia_art9 Tiger? Stripes? Monkey? Toffee apple? Caramel? Dime bar? Kitkat? Crunchy? Cub? Munchkin?		Nottingham, England
78	2023-02-02 21:31:42+00:00	pieorama2	@Mr_ian_B My daughter makes lovely cakes &amp; when we were in Dorset we really liked the apple cakes. If you can get or recommend a recipe I'd appreciate it.		West Bridgford, England
79	2023-02-02 20:15:46+00:00	mjsimpsonfilms	@anon_opin I don't understand the comparison. Granny Smiths are proper tasty crisp apples, but Golden Delicious are flavourless mush.		Leicester, UK
80	2023-02-02 16:53:57+00:00	Riveracartoonz	@DarkTurtle56 @JayDubcity16 Comparing Apples to Oranges lol		Gotham City
81	2023-02-02 15:58:32+00:00	Himansh68242077	"@TheJakes100 @RachelReevesMP Still I haven't seen McDonald's and KFCs are boarded up. Amazon, Costa, Starbucks, Apple still making record profits. 

Houses are selling (not so fast) 20% above 2020 price. 

People are not as poor as you think."		Nottingham, England
82	2023-02-02 15:04:32+00:00	Middulph	What’s the most criminally underrated item at Greggs, and why is it the Apple Danish?		Nottingham, England
83	2023-02-02 14:36:12+00:00	Isaac_C__	@POTUS Nope, thats still capitalism. In fact, thats exactly what monopolies like Apple, Google and Microsoft want. If you truly thought that was true Mr President, you’d ensure all government computers ran on linux and everyone must use a different type of android phone. Just an idea!		Nottingham, United Kingdom
84	2023-02-02 14:14:35+00:00	PantherAS90	Will you be stocking the new Apple HomePod?@currys @CurrysServices	Coordinates(longitude=-1.2501363, latitude=52.921473)	Nottingham, England
85	2023-02-02 13:34:59+00:00	CJ_24K	"The #MRXLab back for season 4 (+ video)! 

Thrilled to be joined by guests from @hpyThink and @_FlexMR to discuss strategic sensemaking.

🎧 Spotify: https://t.co/qwd6GoKsjX
🎧 Apple: https://t.co/DxsEg2ngW4
🎧 Amazon: https://t.co/PAsEexnwvs
🎧 YouTube: https://t.co/DIkf4HcV3w https://t.co/uTIaX2b4Pa"		Nottingham, UK
86	2023-02-02 11:22:48+00:00	greasybatman	ok wait let me look into these airpod max serious because i can pick them up at the apple store tmrw 😭		gotham
87	2023-02-02 10:50:14+00:00	FFSPod	"#210 Six foot tall &amp; full of muscle

Rob &amp; Pete look back in the transfer window, make sense of the financial news at #LCFC and also Villa (A) 🦊 

To listen 🎧 ⬇️

🔹 Apple iTunes: https://t.co/EskRtvn9QE
🔹 SoundCloud: https://t.co/KXErE5SwTQ
🔹 Spotify: https://t.co/butjm0I6BG https://t.co/u0zpxp3yyg"		Leicester
88	2023-02-02 10:30:50+00:00	PatsyBateman666	Starting off our 2023 garden. Garlic, onions in greenhouse. Next will be the dyeing, medicinal &amp; culinary herbs. Then spuds, carrots, sweet potatoes, cauliflower, radish, lettuce, tomatoes, cucumber, gourds, chillies, peppers. Also berries, apples, cherries, strawberries etc 😋		Gotham, England
89	2023-02-02 09:40:44+00:00	MariawWillis	👏🏻 @kurtmartinez Great start to #2023 #dolbyatmos @dolby @deanststudios #AmazonMusic @AppleMusic loving this by @RitaOra❤️#dancing #socialprescribing #music @keymn1 @debbiedraper70 @redhead_louise @docbecs @MichaelaTait8 @HelenHassell2 @SianB23 #myboy☺️		Nottingham  
90	2023-02-02 09:18:28+00:00	saggyishYT	@apple_sen_pie The bag will be mine soon! Thank you		East Midlands
91	2023-02-02 09:04:42+00:00	FarhadPeerally2	@stevenbollipo @thomanpulimood Loving the answers! Isn’t that a Java apple or wax jambu? If so, we call it “Jamalac” in Creole/ French.		East Midlands, UK
92	2023-02-02 08:50:38+00:00	whoisgraham	"@timsneath Mac OS on Apple Silicon.

Latest community edition of IntelliJ.

Thanks for taking the time to reply."		Nottingham, England
93	2023-02-02 07:46:29+00:00	bridgetw1807	@JenniKeer Use a small, sweet eating apple, peeled and diced, then cooked with the porridge. 👍		Leicester, England
94	2023-02-02 06:26:12+00:00	G__Division	Watching the end of season 1 of Lost and waiting for sunrise so I can go for a run. Thanks to Apple for still having the thing where if you wipe your phone your watch is paired to the old ‘device’ and making you wipe the Watch though, so now I have to set up Race Route again.		East Midlands, United Kingdom
95	2023-02-02 04:45:15+00:00	Nobl3Supr3me	@DisTrackers the fact that Big Apple Collectables is mentioned makes me wanna wait for regular release		Gotham City
96	2023-02-02 02:33:59+00:00	bigslimeshitkp	Apple and the cookie		Gotham
97	2023-02-01 23:52:45+00:00	SianLewin1	@moonglowsoul We were told as children an apple tree would grow inside you 😳 #differenttimes  #Apple	Coordinates(longitude=-1.00765, latitude=52.8666)	East Midlands, England 
98	2023-02-01 23:51:34+00:00	Rjensen666	"@kxdott I knowww im over apples for like a week. 
whats ur go to snack👀👀 
im too far tho dont say me im not coming over yet lol"		Gotham
99	2023-02-01 22:48:51+00:00	Rjensen666	"Smoked a beezy and ate 5 apples and like 1000 blueberries. 

Yeah i don't feel great."		Gotham
100	2023-02-01 22:29:51+00:00	castlefacts1	"@SKinnock Inept EU trougher

The apple did not fall far from the tree"		Nottingham, England
101	2023-02-01 21:52:28+00:00	WrenchyC	Ole boy lit right now 🏋🏼 Always wanted to get my dad an Apple Watch and just found a sweet ass deal for one. Can’t wait hand over the reigns to an old timer 🕺🏼🙆🏼‍♂️		Gotham City
102	2023-02-01 21:47:21+00:00	timhaq	@Apples_27 @LCFC I know was joking. Can’t wait to see him play in our shirt 💙🦊		Leicester
103	2023-02-01 20:34:06+00:00	LeZahraan	Tiktok made me trade my 60$ la mer toner for apple vinegar instead. Wish me luck		Gotham City
104	2023-02-01 19:30:07+00:00	emmadonaldson05	@O2 @CurrysServices @Apple i just want some Apple Airpods Max lol!!!!		Nottingham, UK 
105	2023-02-01 19:11:30+00:00	dineketh	"You're sleep deprived Tom. Not to mention you've not been out. No wonder the apple tree was in the
wrong place 🤣 #TheArchers"		Leicester
106	2023-02-01 19:00:26+00:00	dean_burt	The apple doesn’t fall too far… #ringo #twins #focuspads #boxing #theboy https://t.co/AS3cuysdHk		Leicester
107	2023-02-01 18:45:31+00:00	simplepc	@briantong @Apple Is this San Francisco? I visited in 2005. It’s scary how time flies! I’d love to visit again but this year takes us in the opposite direction to Singapore, and the cool dome on the water Apple Store.		Nottingham, UK
108	2023-02-01 18:32:13+00:00	stephenbrader	@Def64Gamer @MKBHD Not samsungs fault if those arent supported on android the 8 gen 2 gpu is actually faster than a16 but thats because apple reused a15 gpu so that gave them the chance this year to overtake apple in gpu blame the devs for being lazy to support it on android		Leicester, England
109	2023-02-01 18:14:47+00:00	GothamOutsiders	"‼️🦇 AVAILABLE NOW 🦇‼️
James Gunn DC Slate (feat. @dead_anchoress) 

Spotify: https://t.co/VqoDmFuVHn
Apple: https://t.co/1064UpIiK8
Google: https://t.co/aKxFSOxMYB
Amazon: https://t.co/CVzcTnn05j https://t.co/TV4DBE5xlf"		Gotham City
110	2023-02-01 17:05:57+00:00	MarkHaydock5	@morganmotor Are there any plans to make the configurator available on Apple devices?	Coordinates(longitude=-1.158894, latitude=52.904985)	West Bridgford, England
111	2023-02-01 16:57:42+00:00	blacksmoke1033	Also I just don’t know what I bought? The cheesecake has puff pastry and cooked peaches on the top, like the top half on an apple pie?? Of which one slice was 1/4 of a cheesecake. The strawberry jam pastry has crumble on the top? It’s 14 inches across. Thank u bakery fairy		Nottingham, England
112	2023-02-01 16:25:04+00:00	MikeyOrton	@currys @Apple I have specially done this today as I was off work due to having my son whilst the teachers are on strike, both myself and my son have been repeat customers of Carphone Warehouse and Currys and I feel that the service which I have received is completely unacceptable.		Leicester
113	2023-02-01 16:22:29+00:00	MikeyOrton	@currys @Apple However, Currys could only offer me vouchers whereas Carphone Warehouse would give me cash for my old phone, this seems ridiculous in the same store literally 20 yards apart! So I have done approximately 70 miles and made 2 phone calls and still have not upgraded my phone!		Leicester
114	2023-02-01 16:19:53+00:00	MikeyOrton	@currys @Apple I then called your Tamworth Ventura Park store who advised me that they had them in stock. I visited the store to be told that the trade in and upgrade could not be processed due to their internet being down! I was also told that it could be done at the Currys side of the store!		Leicester
115	2023-02-01 16:17:48+00:00	MikeyOrton	@currys @Apple Thank you for your prompt reply, I called your Leicester Fosse Park store this morning to check you had a black iPhone 14 in stock, I was told yes. When I got there I was told that they only had blue, red or purple!		Leicester
116	2023-02-01 15:32:12+00:00	Notts52	@KieranCanning @celticway1888 This is comparing Apples &amp; Pears. Benfica/Porto have long attracted South American Players, as PSV have done in past. Teams like Ajax have been self developing players for +50 yrs. Portuguese &amp; Dutch Leagues are competitive and so attract Players, TV contracts vs 2 Team SPFL.		Nottingham, England
117	2023-02-01 15:19:48+00:00	alma3wali	@missyal_alright iam the CEO of Apple. Ama dm u got a job opportunity for u “dear” 😬🤣	Coordinates(longitude=-1.158894, latitude=52.904985)	England, United Kingdom
118	2023-02-01 15:01:13+00:00	UoNCareers	Would your dream career be to deliver projects for Apple? 📝 ✅ Helping to operate its complex and diverse business? Take a look at this exciting three month internship opportunity, open to multiple degree backgrounds. https://t.co/DPzOf2gPoC #UoNHotJobs #internships https://t.co/s9oUBk4goJ		Nottingham, UK
119	2023-02-01 14:57:07+00:00	ElizaWillis06	@Nikkiwenttovidc @quacksqt No fr the Motts is the best apple juice.		Gotham
120	2023-02-01 14:01:35+00:00	MuhammadGaffa15	Cool my Apple Music has just been wiped and I’ve lost over 3,500 songs, let me go kill myself right now.		Leicester, England
121	2023-02-01 13:31:16+00:00	alanasin	"@acgrayling Apple news eh?
The CCP are messing with your pointy head 🖕"		Leicester
122	2023-02-01 12:31:09+00:00	stephenbrader	@TechHighest Genshin is more of a test of throttling and apples cooling isnt as good so it throttled more I hope s23 ultra has good cooling aswell otherwise the slight oc might be pointless		Leicester, England
123	2023-02-01 12:28:50+00:00	stephenbrader	@TechHighest Yeah I know its way ahead in gpu this year apple reused same gpu and gave qc the chance to beat them		Leicester, England
124	2023-02-01 12:04:15+00:00	joinjeremy	@maggsbrowne104 @LeroySkeete You have £100 million with the knowledge you have now. Tesla stock...bitcoin...Apple...		Leicester, England
125	2023-02-01 12:03:24+00:00	joinjeremy	@Vmartine1905 @LeroySkeete Victoria....you'd know to mine bitcoin, buy apple stock...Tesla...you'd have £100 billion and your entire life ahead of you. You could even prevent major terrorist attacks or other crimes should you wish.		Leicester, England
126	2023-02-01 10:12:09+00:00	bridgetw1807	@JenniKeer Porridge with chopped apple. Sets me up for the day.		Leicester, England
127	2023-02-01 10:08:33+00:00	aquamarina8111	@IndyJenn_ They entered the digits of his birthday and then the computer ran with those digits. It took three days because it can only try 147 times a day. An apple thing …		East Midlands, England
128	2023-02-01 09:30:37+00:00	Sam_Metcalf	@TagueMedia He wouldn’t know what an apple is, mate.		Nottingham
129	2023-02-01 04:34:38+00:00	Themockingcat12	"@NightingaleDina "" oh.... Would you like a piece of apple pie and a cup of coffee ? """		Gotham City 
130	2023-02-01 01:07:39+00:00	alice3_e	Apple ventura 13.2 has ruined my laptop 🙃		Leicester, England
131	2023-02-01 00:56:20+00:00	vigiIantechris	@ThisIsMeTanking people would rather listen on spotify or apple music, only videos that do good are songs that are big internationally		gotham city
132	2023-02-01 00:12:16+00:00	TechcleanIT	We love all things tech, and cleaning a variety of IT equipment is our area of expertise. In fact we have been experts at it since the Apple Macintosh revolutionized the entire computer industry by the year of 1984...		Leicester, England
133	2023-01-31 22:04:38+00:00	jcampo6	@rosecaarter Yeah that's what you get for tearing an apple in half! Think of the apple! Think of the apple Rose! Did it want to be split it half? No wonder Twitter got spooked of what you did!		Gotham City
134	2023-01-31 22:03:50+00:00	PatrickBolger13	@TechBurritoUno i 8 sum Apple Pi		Nottingham, England
135	2023-01-31 20:22:02+00:00	_Brammers_	"A cheeky meeting this afternoon from @CostaCoffee HQ ✌🏻 - I am feeling very lucky to be back at work. 
#work #coffee #teams #Microsoft365 #MicrosoftTeams #iPhone #Apple #iPad #DeadlineDay #따끈따끈_도영빵_생일이_왔옹 #phones #drugphones #ساره_الودعاني #MAFSAU #NIVEACHYAxBossNoeul https://t.co/8HsLiy5U9V"		East Midlands, England
136	2023-01-31 19:55:57+00:00	Wade_in_America	Apple’s AI for the Photos app is absolutely incredible. I don’t even care if they’re stalking me and gathering disgusting amounts of personal data on me. I really don’t. It had the picture I wanted categorized AND all these jewels. https://t.co/XGWKTi83Ok		Gotham City
137	2023-01-31 19:13:49+00:00	VizSantana	Tired of seeing that fucking Apple ad with the lizard on its back, foh wit that shyt.		Gotham City
138	2023-01-31 18:53:08+00:00	SuperSaf	Unboxing the new @Apple HomePod 2nd Gen! https://t.co/qVGsPOxnvZ		Leicester, UK
139	2023-01-31 18:48:39+00:00	s_108	@theramalmedia Can you step pair this to cable TV? (Rather then just Apple TV stuff)		leicester
