date,username,tweet,near
2023-02-03,justwray,@aForce75756612 @imparkerburton How about I make it easier for you and watch an Apple Ad yeah  https://t.co/NKuqjztJNM,
2023-02-03,christinartnd,"@CurrysServices Hi, some of your colleagues have given us some incorrect advice regarding a oneforallcard, and we purchased an apple watch but now have a £100 currys gift card. Can we go into store to return (and then re-buy it) with our giftcard?",
2023-02-03,jameswilesmusic,"@benwalshdjuk @crimsenmusic @WOStreetTracks @beatport @Spotify @AppleMusic @EastHarbourMgmt Nice this Ben, great work!",
2023-02-03,cliff_timber,I don't mean to brag about my wealth but I have just purchased the latest must-have Apple Gadget The Apple Corer  ebay £2.99  https://t.co/03ozToIFhD,
2023-02-03,jxsm1ne_16,@AnneMarie @AppleMusic It has been on repeat in my pocket all day 🫶🏻,
2023-02-03,theiosdude,Anyone else using Xcode Cloud for some CD stuff? Apple have done a great job on the integration  between Github and XC. #SwiftLang #iOSDev #DevLife  https://t.co/9L7HNn1FPp,
2023-02-03,redhoodluvr,@midtcwnn i need that long lost friend who i picked apples with in papa’s orchard copypasta to describe my feelings about him,
2023-02-03,motorlinedirect,"We LOVE our Porsche Macan here at Motorline Direct! This one has heated front seats, leather interior, reverse camera, heated steering wheel, apple car play, plus even more to adore! 🚗 @Porsche  💻  https://t.co/IO0jZ0fBQI #porschemacan #motorlinedirectuk  https://t.co/c8sXHOU4lk",
2023-02-03,junxrrcarter,"Teach your phones how to spell “fucking” , I thought it was supposed to be a SMART phone ? @apple",
2023-02-03,s_108,@followhomekit How do I pair this to my tv and watch virgin/sky tv? I know u can pair to Apple TV box (but my virgin etc doesn’t come through this)  Otherwise I’ll have to have a beam for virgin and HomePod for Apple TV box,
2023-02-03,forgeinn,"Happy Friday! Something we've been waiting for since before Christmas 🧐 The RETURN of Giancarlo &amp; the teams weekend specials 🤩 Featuring;   Sautéed Scallops, Chorizo &amp; Cauliflower finished with garlic butter on toast,  Frutti di Mare Tagliatelle &amp; Apple &amp; Forest Fruit Crumble  https://t.co/tlzyveIX2D",
2023-02-03,stephenbrader,@AndyH_England @TheGalox_ Tsmc doesnt save it entirely those arm cortex cores are still terrible for efficiency the a715 on 4nm is barely much faster or efficient than old a78 on 7nm and a510 too is also terrible like half as fast as apple efficiency cores while using more power,
2023-02-03,superstarbj,@leonagraham  football tip just watch all the Ted lasso  football manager on Apple TV all you problems will be solved . 👍,
2023-02-03,brennig,Apple to buy Netflix within 24 months. Stick a fiver on it,
2023-02-03,ohree_,@fancywookiee @DarkEden21 Man got hit in the head with one too many Apples,
2023-02-03,teamstaa,"Fruit tree pruning workshop for apple, pear &amp; quince 🍐  Come along for a masterclass in all aspects of orchard tree care inc how to rejuvenate old trees &amp; prune new trees to achieve the perfect crop.   Sat 11th Feb 10-12:  https://t.co/Py1GFCcpj1 #workshop #allotment #pruning  https://t.co/fUPXcM2wpB",
2023-02-03,falcoretweets,"All I’ve ever wanted is one of those apple corers, you know the ones that cuts the apple into segments at the same time… maybe one day eh 🥹  https://t.co/KnWciFSiVU",
2023-02-03,bane_tweets,"@MandelaMinutes Apple is marketing strategy is all about Apple. They don't sell products. They sell a lifestyle!   FYI I launched Apple series 4-7, Beats by Dr Dre &amp; Apple TV Box. 😉",
2023-02-03,bane_tweets,@MandelaMinutes Apple doesn't advertise or pay anyone for advertising. As a provider of Apple products you are supposed to pay for all marketing * advertising.,
2023-02-03,stephenbrader,@OddFair Well duh qualcomm cant suddenly clock it to 5ghz at low power to make the cortex x3 catch up to apple they have a chance to catch up with nuvia cores but there coming to laptops 1st so probably not in phone chips til 8 gen 4 all i want is them to catch up in efficiency not scores,
2023-02-02,greasybatman,going to the apple store tmrw rip my bank account when i come out with those silver airpod max,
2023-02-02,k_stalou,"Fae can identify however they like, it'll never make it true. That Adam's apple however...must be hard to look at when you try so desperately to convince everyone you are what you say you are, just because you say so!",
2023-02-02,beauchampbiz,BBC News - Apple sales in biggest fall since 2019  https://t.co/bStfM7oRNg,
2023-02-02,k8ep3,@Sonia_art9 Tiger? Stripes? Monkey? Toffee apple? Caramel? Dime bar? Kitkat? Crunchy? Cub? Munchkin?,
2023-02-02,pieorama2,@Mr_ian_B My daughter makes lovely cakes &amp; when we were in Dorset we really liked the apple cakes. If you can get or recommend a recipe I'd appreciate it.,
2023-02-02,mjsimpsonfilms,"@anon_opin I don't understand the comparison. Granny Smiths are proper tasty crisp apples, but Golden Delicious are flavourless mush.",
2023-02-02,riveracartoonz,@DarkTurtle56 @JayDubcity16 Comparing Apples to Oranges lol,
2023-02-02,himansh68242077,"@TheJakes100 @RachelReevesMP Still I haven't seen McDonald's and KFCs are boarded up. Amazon, Costa, Starbucks, Apple still making record profits.   Houses are selling (not so fast) 20% above 2020 price.   People are not as poor as you think.",
2023-02-02,middulph,"What’s the most criminally underrated item at Greggs, and why is it the Apple Danish?",
2023-02-02,isaac_c__,"@POTUS Nope, thats still capitalism. In fact, thats exactly what monopolies like Apple, Google and Microsoft want. If you truly thought that was true Mr President, you’d ensure all government computers ran on linux and everyone must use a different type of android phone. Just an idea!",
2023-02-02,pantheras90,Will you be stocking the new Apple HomePod?@currys @CurrysServices,
2023-02-02,cj_24k,The #MRXLab back for season 4 (+ video)!   Thrilled to be joined by guests from @hpyThink and @_FlexMR to discuss strategic sensemaking.  🎧 Spotify:  https://t.co/qwd6GoKsjX 🎧 Apple:  https://t.co/DxsEg2ngW4 🎧 Amazon:  https://t.co/PAsEexnwvs 🎧 YouTube:  https://t.co/DIkf4HcV3w  https://t.co/uTIaX2b4Pa,
2023-02-02,greasybatman,ok wait let me look into these airpod max serious because i can pick them up at the apple store tmrw 😭,
2023-02-02,ffspod,"#210 Six foot tall &amp; full of muscle  Rob &amp; Pete look back in the transfer window, make sense of the financial news at #LCFC and also Villa (A) 🦊   To listen 🎧 ⬇️  🔹 Apple iTunes:  https://t.co/EskRtvn9QE 🔹 SoundCloud:  https://t.co/KXErE5SwTQ 🔹 Spotify:  https://t.co/butjm0I6BG  https://t.co/u0zpxp3yyg",
2023-02-02,patsybateman666,"Starting off our 2023 garden. Garlic, onions in greenhouse. Next will be the dyeing, medicinal &amp; culinary herbs. Then spuds, carrots, sweet potatoes, cauliflower, radish, lettuce, tomatoes, cucumber, gourds, chillies, peppers. Also berries, apples, cherries, strawberries etc 😋",
2023-02-02,mariawwillis,👏🏻 @kurtmartinez Great start to #2023 #dolbyatmos @dolby @deanststudios #AmazonMusic @AppleMusic loving this by @RitaOra❤️#dancing #socialprescribing #music @keymn1 @debbiedraper70 @redhead_louise @docbecs @MichaelaTait8 @HelenHassell2 @SianB23 #myboy☺️,
2023-02-02,saggyishyt,@apple_sen_pie The bag will be mine soon! Thank you,
2023-02-02,farhadpeerally2,"@stevenbollipo @thomanpulimood Loving the answers! Isn’t that a Java apple or wax jambu? If so, we call it “Jamalac” in Creole/ French.",
2023-02-02,whoisgraham,@timsneath Mac OS on Apple Silicon.  Latest community edition of IntelliJ.  Thanks for taking the time to reply.,
2023-02-02,bridgetw1807,"@JenniKeer Use a small, sweet eating apple, peeled and diced, then cooked with the porridge. 👍",
2023-02-02,g__division,"Watching the end of season 1 of Lost and waiting for sunrise so I can go for a run. Thanks to Apple for still having the thing where if you wipe your phone your watch is paired to the old ‘device’ and making you wipe the Watch though, so now I have to set up Race Route again.",
2023-02-02,nobl3supr3me,@DisTrackers the fact that Big Apple Collectables is mentioned makes me wanna wait for regular release,
2023-02-02,bigslimeshitkp,Apple and the cookie,
2023-02-01,sianlewin1,@moonglowsoul We were told as children an apple tree would grow inside you 😳 #differenttimes  #Apple,
2023-02-01,rjensen666,@kxdott I knowww im over apples for like a week.  whats ur go to snack👀👀  im too far tho dont say me im not coming over yet lol,
2023-02-01,rjensen666,Smoked a beezy and ate 5 apples and like 1000 blueberries.   Yeah i don't feel great.,
2023-02-01,castlefacts1,@SKinnock Inept EU trougher  The apple did not fall far from the tree,
2023-02-01,wrenchyc,Ole boy lit right now 🏋🏼 Always wanted to get my dad an Apple Watch and just found a sweet ass deal for one. Can’t wait hand over the reigns to an old timer 🕺🏼🙆🏼‍♂️,
2023-02-01,timhaq,@Apples_27 @LCFC I know was joking. Can’t wait to see him play in our shirt 💙🦊,
2023-02-01,lezahraan,Tiktok made me trade my 60$ la mer toner for apple vinegar instead. Wish me luck,
2023-02-01,emmadonaldson05,@O2 @CurrysServices @Apple i just want some Apple Airpods Max lol!!!!,
2023-02-01,dineketh,You're sleep deprived Tom. Not to mention you've not been out. No wonder the apple tree was in the wrong place 🤣 #TheArchers,
2023-02-01,dean_burt,The apple doesn’t fall too far… #ringo #twins #focuspads #boxing #theboy  https://t.co/AS3cuysdHk,
2023-02-01,simplepc,"@briantong @Apple Is this San Francisco? I visited in 2005. It’s scary how time flies! I’d love to visit again but this year takes us in the opposite direction to Singapore, and the cool dome on the water Apple Store.",
2023-02-01,stephenbrader,@Def64Gamer @MKBHD Not samsungs fault if those arent supported on android the 8 gen 2 gpu is actually faster than a16 but thats because apple reused a15 gpu so that gave them the chance this year to overtake apple in gpu blame the devs for being lazy to support it on android,
2023-02-01,gothamoutsiders,‼️🦇 AVAILABLE NOW 🦇‼️ James Gunn DC Slate (feat. @dead_anchoress)   Spotify:  https://t.co/VqoDmFuVHn Apple:  https://t.co/1064UpIiK8 Google:  https://t.co/aKxFSOxMYB Amazon:  https://t.co/CVzcTnn05j  https://t.co/TV4DBE5xlf,
2023-02-01,markhaydock5,@morganmotor Are there any plans to make the configurator available on Apple devices?,
2023-02-01,blacksmoke1033,"Also I just don’t know what I bought? The cheesecake has puff pastry and cooked peaches on the top, like the top half on an apple pie?? Of which one slice was 1/4 of a cheesecake. The strawberry jam pastry has crumble on the top? It’s 14 inches across. Thank u bakery fairy",
2023-02-01,mikeyorton,"@currys @Apple I have specially done this today as I was off work due to having my son whilst the teachers are on strike, both myself and my son have been repeat customers of Carphone Warehouse and Currys and I feel that the service which I have received is completely unacceptable.",
2023-02-01,mikeyorton,"@currys @Apple However, Currys could only offer me vouchers whereas Carphone Warehouse would give me cash for my old phone, this seems ridiculous in the same store literally 20 yards apart! So I have done approximately 70 miles and made 2 phone calls and still have not upgraded my phone!",
2023-02-01,mikeyorton,@currys @Apple I then called your Tamworth Ventura Park store who advised me that they had them in stock. I visited the store to be told that the trade in and upgrade could not be processed due to their internet being down! I was also told that it could be done at the Currys side of the store!,
2023-02-01,mikeyorton,"@currys @Apple Thank you for your prompt reply, I called your Leicester Fosse Park store this morning to check you had a black iPhone 14 in stock, I was told yes. When I got there I was told that they only had blue, red or purple!",
2023-02-01,notts52,"@KieranCanning @celticway1888 This is comparing Apples &amp; Pears. Benfica/Porto have long attracted South American Players, as PSV have done in past. Teams like Ajax have been self developing players for +50 yrs. Portuguese &amp; Dutch Leagues are competitive and so attract Players, TV contracts vs 2 Team SPFL.",
2023-02-01,alma3wali,@missyal_alright iam the CEO of Apple. Ama dm u got a job opportunity for u “dear” 😬🤣,
2023-02-01,uoncareers,"Would your dream career be to deliver projects for Apple? 📝 ✅ Helping to operate its complex and diverse business? Take a look at this exciting three month internship opportunity, open to multiple degree backgrounds.  https://t.co/DPzOf2gPoC #UoNHotJobs #internships  https://t.co/s9oUBk4goJ",
2023-02-01,elizawillis06,@Nikkiwenttovidc @quacksqt No fr the Motts is the best apple juice.,
2023-02-01,muhammadgaffa15,"Cool my Apple Music has just been wiped and I’ve lost over 3,500 songs, let me go kill myself right now.",
2023-02-01,alanasin,@acgrayling Apple news eh? The CCP are messing with your pointy head 🖕,
2023-02-01,stephenbrader,@TechHighest Genshin is more of a test of throttling and apples cooling isnt as good so it throttled more I hope s23 ultra has good cooling aswell otherwise the slight oc might be pointless,
2023-02-01,stephenbrader,@TechHighest Yeah I know its way ahead in gpu this year apple reused same gpu and gave qc the chance to beat them,
2023-02-01,joinjeremy,@maggsbrowne104 @LeroySkeete You have £100 million with the knowledge you have now. Tesla stock...bitcoin...Apple...,
2023-02-01,joinjeremy,"@Vmartine1905 @LeroySkeete Victoria....you'd know to mine bitcoin, buy apple stock...Tesla...you'd have £100 billion and your entire life ahead of you. You could even prevent major terrorist attacks or other crimes should you wish.",
2023-02-01,bridgetw1807,@JenniKeer Porridge with chopped apple. Sets me up for the day.,
2023-02-01,aquamarina8111,@IndyJenn_ They entered the digits of his birthday and then the computer ran with those digits. It took three days because it can only try 147 times a day. An apple thing …,
2023-02-01,sam_metcalf,"@TagueMedia He wouldn’t know what an apple is, mate.",
2023-02-01,themockingcat12,"@NightingaleDina "" oh.... Would you like a piece of apple pie and a cup of coffee ? """,
2023-02-01,alice3_e,Apple ventura 13.2 has ruined my laptop 🙃,
2023-02-01,vigiiantechris,"@ThisIsMeTanking people would rather listen on spotify or apple music, only videos that do good are songs that are big internationally",
2023-02-01,techcleanit,"We love all things tech, and cleaning a variety of IT equipment is our area of expertise. In fact we have been experts at it since the Apple Macintosh revolutionized the entire computer industry by the year of 1984...",
2023-01-31,jcampo6,@rosecaarter Yeah that's what you get for tearing an apple in half! Think of the apple! Think of the apple Rose! Did it want to be split it half? No wonder Twitter got spooked of what you did!,
2023-01-31,patrickbolger13,@TechBurritoUno i 8 sum Apple Pi,
2023-01-31,_brammers_,A cheeky meeting this afternoon from @CostaCoffee HQ ✌🏻 - I am feeling very lucky to be back at work.  #work #coffee #teams #Microsoft365 #MicrosoftTeams #iPhone #Apple #iPad #DeadlineDay #따끈따끈_도영빵_생일이_왔옹 #phones #drugphones #ساره_الودعاني #MAFSAU #NIVEACHYAxBossNoeul  https://t.co/8HsLiy5U9V,
2023-01-31,wade_in_america,Apple’s AI for the Photos app is absolutely incredible. I don’t even care if they’re stalking me and gathering disgusting amounts of personal data on me. I really don’t. It had the picture I wanted categorized AND all these jewels.  https://t.co/XGWKTi83Ok,
2023-01-31,vizsantana,"Tired of seeing that fucking Apple ad with the lizard on its back, foh wit that shyt.",
2023-01-31,supersaf,Unboxing the new @Apple HomePod 2nd Gen!  https://t.co/qVGsPOxnvZ,
2023-01-31,s_108,@theramalmedia Can you step pair this to cable TV? (Rather then just Apple TV stuff),
2023-01-31,s_108,@NikiasMolina Can you step pair this to cable TV? (Rather then just Apple TV stuff),
2023-01-31,s_108,@followhomekit Can you step pair this to cable TV? (Rather then just Apple TV stuff),
2023-01-31,scruffynerfer,@saturnitegaming @SneakEnergy I don't like sour apple. Everything else is good. Breakfast orange though is God tier,
2023-01-31,stephenbrader,@domenucakar @sondesix S20 and s21 had 4000mah though and its not really samsungs optimsation more so down to bad chips 8 gen 2 is much better but not on par with apple but thats not qc fault thats the terrible arm cortex cores especially the mid and efficiency cores those are terrible,
2023-01-31,only1daveoakley,@ukhomeoffice @SuellaBraverman I bet even her family think she's a rotten apple.,
2023-01-31,birgittesbow,"@WoTMatsPips *Shakes a very queer fist at Pips' mum* Love, apples and sugar lumps for you, best of horses.",
2023-01-31,dark98rises,@ARRAddict_Ofcl Apple Music Subscribe Pannu 😂,
2023-01-31,michaelvickers_,Absolute game changer - can’t wait to start making music on this. Buzzing to have been able to get a grant for it via Leicester Council. nervous walk through LC to the van carrying this around . starting to feel bad about pushing that old woman over now…. #apple #macstudio  https://t.co/3s7AmVEawk,
2023-01-31,joejoesbakes,It's great to team up with our local community group Croft Good Neighbors again this year to provide the cupcakes for their users. These were a cinammon spiced cupcakes with a apple compote center topped with a fondant Snowdrop which is over of the flowers for January  https://t.co/EP51HgbdY9,
2023-01-31,supersaf,Everything you need to know about the @Apple HomePod 2nd Gen in under 1 minute 😎  https://t.co/TDqsO5ax1P,
2023-01-31,arc_em,We are pleased to announce #funding for a @ARC_EM #PhD studentship!  🎓PhD to complement our existing work programme 🎓Award will be made at UKR&amp;I Home rates 🎓Applications close 01.05.23   Apple here:  🔗 https://t.co/2wfw5G9lx4  #HSR #EastMidlands #postgraduate #research  https://t.co/X0uITgBwsj,
2023-01-31,leendorm,"My favorite activity is studying my preferred brands in class every day. If you are familiar with me, then you are aware that I have always been passionate about Coca Cola, Apple, and Cadbury brands, and I have the opportunity to delve into them on a daily 😍🥰💃",
2023-01-31,_apexnow_,@TechBurritoUno I ate Apple pi and it was delicious,
2023-01-31,richgascoigne,@VodafoneUK Can I get some help on re-adding my one plan to my cellular Apple Watch ultra?,
2023-01-31,damienmcferran,@Captain_Pixel @RetroGamer_Daz @AppleMusic Are there are options for uploading / streaming your music that aren't garbage?,
2023-01-31,damienmcferran,"@Captain_Pixel @RetroGamer_Daz @AppleMusic The way these huge companies treat their customers is quite annoying. I uploaded all of my music to Google Music (and bought a bunch of stuff on it, too) only for them to shutter it and port it all over to YouTube Music, which is a much worse service",
2023-01-31,connectedsys,The first iPhone cost $499 when it was released in 2007? The latest iPhone 14 starts at $829 – that’s quite the jump. Where will phone pricing go next? #Apple #iPhone #PriceRise  https://t.co/iWAeu9afNw,
2023-01-31,spread72,"@greg_jenner It’s fantastic!  Binged both series in a week. Can’t say the same for the Apple TV+ app through sky Q though, glitching and sending me to another episode or back to the beginning. 😡",
2023-01-30,stuartdessler,@ianzelbo I’ve never ever heard anyone say any of those Apple words for non Apple things… ever…,
2023-01-30,mychaelnsalmon,@nbtruth1 @piersmorgan It is just bad apples.. yet it seems these bad apples have a particular target don’t you think. Do the maths on how often other groups have been treated I. The same manner,
2023-01-30,shokermotion,@A_W_M_B I have a Samsung Galaxy most days which is great and looks good too (unless you're an Apple iPhone user lol.) Or Fitbit? Both are half the price of an Apple watch,
2023-01-30,emmadonaldson05,@CurrysServices hi. I’m just wondering if you could tell me when you are getting more stock of the Apple AirPods Max please.,
2023-01-30,emmadonaldson05,@O2 I am just wondering if you could tell me when you are getting some more stock in of the Apple AirPods Max please.,
2023-01-30,maindeleger,@DavidCl91335700 @di_a__n_a You set me it the right direction! Wormy apple =9. Wormy 6-leaf=9. (3x9)-9=18,
2023-01-30,defy_norm,"Harrowing images of cobalt mines in Congo where kids dig for $2/day  They dig for cobalt, the chemical element that is used in almost every tech product on the market today  Apple, Tesla, Samsung and Microsoft are the other end of the complex supply chain  https://t.co/0EtOcDdmBu",
2023-01-30,sjjc16,"Have just changed phones which means I'm looking for a music streaming app, ideally a free one, was looking at Tidal. Anyone know if they do a free version, not bothered about ads, just don't want to lose my library like I have with Apple Music because it's behind a paywall.",
2023-01-30,marsh2525,"Eli Apple been quiet lately, you dish all that shit out, people would have respected you more if you took it and fought back, just makes them even more of an unlikable team",
2023-01-30,faizolana,She said return the Apple Watch 😂😭,
2023-01-30,cjohno1990,@karimmcfc You don’t need his bad/negative energy around the club upsetting the apple cart. Had to go ASAP. Pep made the right decision to axe him. No player is bigger than the football club.,
2023-01-30,notthatshaz,"Haven't used Apple TV in like a month. Popped on to cancel my subscription before my trial is up and there's a new season of Servant 😭 back to an Apple TV binge.  Seriously though, the worst streaming app followed by Paramount+",
2023-01-30,photographer307,"@ylihao @ianzelbo Apple Watch Ultra Mini, that name would be too long imo.",
2023-01-30,bankzynffc,@_K8HG @Wrightreportt Wasn’t the cigar reference towards Apple ect who were lighting cigars after the Bills game?,
2023-01-30,photographer307,@ianzelbo ‘Apple Watch Pro’ is what I think the name of the smaller one would be.,
2023-01-30,thestockjoker1,@hlhbee Apple auto correct is really something else. I myself have DUG holes*,
2023-01-30,viciouspanda,"option/right-clicking on a clock/calendar should elicit in the menu ""copy date+time"" (+maybe location, if you are a sucker who shares that with the world). Not sure how many devices, OS revisions do this.  MY IDEA™®=PAY ME! @Windows @Android @Apple @SamsungMobile @LineageAndroid",
2023-01-30,l0usilver,"Apples are one of your five-a-day, right?  https://t.co/LEYn11Q0Fn",
2023-01-30,freezemysnowbal,We have 1000s of reviews across 🇬🇧 and America 🇺🇸 Snowball is TripAdvisor for the disabled community. Download the app now.  ‘Where will your Snowball journey take you today?’  Apple  https://t.co/NgaKhRiJlT Android  https://t.co/5FUmCzTmko  https://t.co/IcKSvKLAlF,
2023-01-30,timdnottingham,@Tesco can someone explain why the contactless readers in-store are so terrible at picking up apple pay and Google pay signals? I'm having to remove my phone from its case to pay with my pixel 6 which is now causing damage to the case!,
2023-01-30,stephenbrader,@_furnx @TheGalox_ In gpu performance its faster thats what he said before the cpu would have no chance of catching up until nuvia cores come to mobile probably not til 2024 or 2025. The gpu is only faster because they had to reuse the same gpu in a16 so it gave qc the chance to overtake apple,
2023-01-30,stevepa58141908,"@BadVaccineTakes There's a much, much longer list floating around somewhere which shows the chemical composition of an apple.",
2023-01-30,weiiiwonder,listening to fiona apple to purposely put myself in a bad mood,
